Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;628.426513671875;154.75419665575;241.7025;18.23689;14;306.1;False
2;772.69287109375;238.740547859669;297.1896;26.07764;14;306.1;False
3;688.614624023438;226.515264529269;264.8518;17.58218;14;306.1;False
4;1058.75170898438;208.042305216193;407.2122;20.24203;14;329.6754;False
5;768.261962890625;221.820353922248;295.4854;19.69779;14;306.1;False
6;907.861022949219;264.300193400979;349.1773;22.455;14;372.291;False
7;1922.19995117188;471.408365446329;547;22.9227;13;339.8284;True
8;1153.34460449219;420.992274004221;443.5941;23.10629;12;372.2843;False
9;1291.49108886719;363.192356820032;496.7273;27.40768;14;400.5071;False
10;1285.67407226563;335.374333918095;494.49;26.46182;14;400.5071;False
11;1922.19995117188;375.776265556179;547;20.88705;14;400.5071;True
12;1922.19995117188;296.236748477817;547;26.56625;14;337.8482;True
13;1922.19995117188;370.847811603546;547;25.06876;14;337.8482;True
14;1218.47094726563;212.451136918738;468.6427;21.93182;14;400.5071;False
15;1124.66284179688;361.372764996882;432.5627;22.50391;14;400.5071;False
16;1139.15600585938;405.966990671307;438.1369;23.79095;13;391.5098;False
17;1123.19873046875;254.336090833694;431.9995;24.23438;13;391.5098;False
18;1058.17236328125;261.770453363657;406.9893;21.8866;12;360.129;False
19;1294.99841308594;238.199168834835;498.0763;25.4585;13;391.5098;False
20;1218.04077148438;282.418725082278;468.4772;32.79327;13;405.3623;False
21;1159.39587402344;375.341197910905;445.9215;24.92572;12;408.0838;False
22;824.397827148438;280.814756344259;317.0761;20.01135;12;408.0838;False
23;977.149658203125;256.879444980621;375.8268;22.96057;10;270.4783;False
24;1059.34338378906;277.542558703572;407.4398;21.29181;12;347.4774;False
25;1056.32080078125;296.91998628825;406.2772;27.37933;12;347.4774;False
26;1922.19995117188;311.789322631061;547;24.27679;11;278.3403;True
27;912.010986328125;310.163003236055;350.7735;19.6828;11;317.566;False
28;1046.21166992188;297.140899018198;402.3891;21.02808;12;378.4749;False
29;1055.32775878906;261.641550904512;405.8953;22.89282;13;261.3203;False
30;1054.55078125;309.124099460267;405.5964;21.05273;13;261.3203;False
