Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;53321808;5571489.55058181;376.3873;18.79958;14;336.9677;False
2;145656384;25757044.3974726;526.1503;23.28483;14;336.79;False
3;69265048;22419229.3222743;410.6811;19.43282;14;337.182;False
4;101445448;28562057.0435457;466.3846;20.00632;14;336.79;False
5;64124168;18049124.5384943;400.2585;20.89195;14;300.0628;False
6;148368432;30246510.5364833;529.3958;24.96561;14;299.6462;False
7;100951760;23727706.0288956;465.6268;23.44302;14;298.978;False
8;100812264;29754341.24375;465.4122;22.41403;14;298.978;False
9;163667328;36513110.8875;547;21.46594;14;337.5051;True
10;82268616;30200653.2267792;434.922;19.80927;14;335.9016;False
11;101057816;39843838.353125;465.7898;25.32373;14;301.0408;False
12;103262952;46901764.45;469.1534;25.33325;14;301.0408;False
13;163667328;43109056.8116345;547;24.54889;14;300.5183;True
14;163667328;47217396.3885254;547;24.86829;14;299.6247;True
15;102148600;45826327.35;467.4597;20.27972;14;301.4669;False
16;81426504;32890252.8921875;433.433;24.45013;13;337.0454;False
17;102119152;32175736.3;467.4147;30.00824;14;297.0718;False
18;102261936;34604174.16875;467.6325;25.15833;13;337.6551;False
19;65283396;24921924.4357166;402.6561;19.57263;14;301.3236;False
20;163667328;40436059.4875;547;25.06891;14;301.752;True
21;79546056;26874440.425;430.0704;26.78668;14;301.752;False
22;124662816;52272188.55;499.55;21.9093;14;302.2457;False
23;163667328;49215241.65;547;24.85846;14;302.2185;True
24;122489864;45305397.575;496.6305;20.71741;14;301.2596;False
25;151339760;42884874.4875;532.9065;23.62793;14;305.0784;False
26;145045968;44953748.2657058;525.4143;22.93262;14;305.0784;False
27;149228992;50803919.4315706;530.4174;21.46228;14;301.9894;False
28;163667328;41270616.7213165;547;23.3241;14;303.0641;True
29;163667328;64300360.7;547;22.55188;14;305.2358;True
30;101738920;52675794.15;466.8339;20.53247;14;301.4034;False
31;148984784;44215262.975;530.1279;25.5448;13;298.8566;False
32;149233312;46781541.5375;530.4225;23.56482;13;298.4717;False
33;163667328;56818715.4027344;547;20.62439;14;301.9722;True
34;148550016;67769344.1;529.6117;22.34106;13;297.7034;False
35;163667328;58661947.3960937;547;21.38818;14;305.0847;True
36;163667328;79461159.175;547;21.86108;13;299.3822;True
37;163667328;71236104.725;547;23.724;13;298.1307;True
38;163667328;71321740.4875;547;23.30212;13;300.8317;True
39;163667328;71146456.0394936;547;21.70569;12;295.7883;True
40;163667328;57462986.3398494;547;24.15991;13;302.8066;True
41;163667328;56562380.3779999;547;24.33899;13;299.0592;True
42;163667328;54685782.05;547;22.98083;13;300.6258;True
43;163667328;52670308.6125;547;22.11511;13;299.7072;True
44;163667328;59577536.35;547;20.92114;13;299.7072;True
45;163667328;53413599.9921875;547;20.24475;13;299.7072;True
46;163667328;61009193.1;547;22.09863;13;299.1813;True
47;125515992;47010900.55;500.687;25.70117;13;299.1813;False
48;163667328;78547752.2;547;21.23877;13;299.1813;True
49;163667328;64540871.00147;547;24.29102;13;301.9275;True
50;163667328;55069219.775;547;21.31763;13;302.0701;True
51;163667328;79382470.9463388;547;21.15039;13;300.8708;True
52;163667328;66203917.8122076;547;21.93042;13;300.8708;True
53;163667328;61695253.275;547;21.14307;13;301.0944;True
54;147078336;41538040.1761972;527.8569;20.56128;13;299.8218;False
55;163667328;72740237.0875;547;21.2146;13;300.8366;True
56;163667328;59860405.7128906;547;21.396;13;301.6443;True
57;147753840;49741180.9125;528.6638;24.29248;13;301.6443;False
58;163667328;84462324.85;547;20.63281;13;301.6443;True
59;163667328;55242205.125;547;22.03076;13;301.6443;True
60;163667328;76722424.25;547;23.20288;13;305.8984;True
61;163667328;62886299.0852396;547;20.78247;13;301.2361;True
62;147115120;55127221.7781352;527.9009;22.34448;14;298.2803;False
63;153442848;61456958.4936907;535.3636;24.16626;13;302.793;False
64;163667328;69238299.4;547;20.83691;13;301.212;True
65;163667328;74712179.6;547;21.01782;13;298.2566;True
66;163667328;61528955.75;547;21.45825;13;298.2566;True
67;163667328;60557866.4500191;547;24.25732;13;299.436;True
68;163667328;60159208.75;547;20.30591;13;297.8569;True
69;163667328;74081533.275;547;23.06714;13;299.436;True
70;163667328;76582552.54375;547;20.81885;13;299.9738;True
71;163667328;57587737.675;547;21.61548;13;298.7247;True
72;163667328;69414541.15;547;20.39453;13;299.9738;True
73;163667328;66286123.775;547;22.5127;14;304.0782;True
74;101706368;44353183.8081382;466.7841;21.4043;14;297.5262;False
75;163667328;59581814.6791459;547;20.93164;13;301.6076;True
76;163667328;91057213.225;547;19.08862;13;301.7162;True
77;163667328;82191830.65;547;21.04346;13;300.2791;True
78;163667328;91140211.8466797;547;21.7981;13;300.1189;True
79;122368936;55585477.7625;496.467;23.97729;13;300.1189;False
80;163667328;60977370.13125;547;21.42676;13;300.6227;True
81;163667328;61218306.375;547;20.61108;13;301.7319;True
82;163667328;80289102.3125;547;25.64526;13;300.3555;True
83;163667328;72111358.971875;547;26.5144;13;300.3555;True
84;163667328;65077488.4861088;547;20.52197;13;300.3555;True
85;163667328;72882380.4006959;547;21.16333;13;298.8336;True
86;163667328;52246121.15;547;20.8335;13;305.1809;True
87;163667328;69796782.6;547;21.43579;13;300.0384;True
88;163667328;66490696.9760455;547;24.40015;13;301.507;True
89;163667328;57580521.3;547;20.46313;13;303.0078;True
90;163667328;67124041.1273401;547;24.50439;13;303.0078;True
91;163667328;46678617.8707123;547;20.04175;13;303.0078;True
92;122809904;39874140.8082072;497.0627;21.74438;13;303.0078;False
93;163667328;65096140.1;547;23.03955;13;303.0078;True
94;163667328;70530974.8;547;20.82031;13;303.0929;True
95;145385056;42730172.125;525.8234;23.0332;13;301.9486;False
96;163667328;69769277.3166981;547;20.44189;13;303.6549;True
97;120595168;46017542.5458804;494.0565;21.34521;13;300.3478;False
98;163667328;58234245.9570114;547;20.47656;13;299.9415;True
99;144995744;61819645.95;525.3536;20.91309;13;299.9415;False
100;193938240;58639978.275;578.8346;25.39551;13;301.1134;False
