Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;382746080;58543855.7068303;279.2524;22.1137;13;323.7817;False
2;1188643328;158358158.116964;407.4214;22.34624;13;365.2455;False
3;2184606976;191415986.230412;499.0581;22.62991;13;365.2455;False
4;953709568;99235439.6644878;378.5867;16.5583;13;365.2455;False
5;2129080832;238045079.515141;494.7935;19.92947;13;365.2455;False
6;2665577984;256218021.159537;533.2822;23.11873;12;355.0412;False
7;1133204096;121632485.254211;400.9861;26.48447;12;364.6909;False
8;921076480;157269599.840975;374.2185;27.33223;14;361.8779;False
9;1198885888;178276537.792447;408.5883;18.47852;12;369.329;False
10;961589888;145099431.857387;379.6266;19.39526;14;327.9726;False
11;915646400;188945063.50652;373.4816;19.1048;11;361.2943;False
12;1164260736;121164693.273886;404.6163;20.61935;14;327.9726;False
13;2155835136;320559138.086268;496.8575;22.70953;11;361.2943;False
14;1423906432;203852105.265911;432.7002;22.90808;12;347.5544;False
15;2197720576;223429080.651636;500.0546;25.3472;11;361.2943;False
16;2079643136;334429146.03935;490.9338;28.92737;12;361.3477;False
17;717509824;152803943.868163;344.3256;19.37305;11;361.2943;False
18;943767104;92472987.845701;377.2665;20.50519;11;361.2943;False
19;1763418368;178236851.787974;464.6705;21.10535;11;361.2943;False
20;7102245376;466721160.438147;547;24.1687;11;361.2943;True
21;1778104960;143064647.751276;465.9569;26.09155;11;361.2943;False
22;731872896;66323925.215573;346.608;20.41101;13;332.9834;False
23;1426112896;172794698.452387;432.9236;18.47961;11;361.2943;False
24;2561169152;217182797.834187;526.2265;24.21649;11;361.2943;False
25;2581011200;250546786.600656;527.582;25.03241;11;361.2943;False
26;1469268224;174984697.784861;437.2472;24.85968;11;361.2943;False
27;1208320128;232383073.743934;409.6573;21.26312;12;328.112;False
28;935537664;197800905.711738;376.1667;19.46289;11;312.0537;False
29;2105589120;252364331.879753;492.967;28.4671;9;331.9566;False
30;2094914176;168713136.997824;492.1325;25.30176;13;250.2538;False
