Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;37976048;4392410.91818364;319.5486;17.48545;12;282.4589;False
2;183167744;13786447.4473542;547;21.74602;10;314.6082;True
3;171924160;26624168.5393557;533.7498;23.27043;10;314.6082;False
4;168415184;12572461.5938366;528.329;25.04333;10;314.6082;False
5;183326592;16480153.7636514;547;21.92352;10;314.6082;True
6;182824016;17504161.6078548;547;21.362;10;314.6082;True
7;76979344;10814610.1745599;401.669;25.21436;10;314.6082;False
8;182278672;16843953.2908281;547;20.75276;10;314.6082;True
9;117312600;15898891.2818517;466.5882;24.13092;12;356.5458;False
10;62266704;10093623.517594;378.1227;19.15698;10;314.6082;False
11;112545944;14307860.8019005;464.6562;18.89233;10;314.6082;False
12;137313520;19453643.7524408;494.1256;22.78537;10;314.6082;False
13;164432400;22138073.9460695;525.1951;23.67737;11;333.6588;False
