Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;693.374633789063;212.041774338111;266.6826;27.51081;11;268.5356;False
2;1291.71997070313;323.530393764935;496.8154;20.71025;14;336.8288;False
3;809.793334960938;257.753641751409;311.459;21.69844;14;323.9657;False
4;773.566589355469;199.342953443527;297.5256;20.21499;13;327.3658;False
5;1380.50048828125;282.590140847862;530.9617;26.91824;12;293.4564;False
6;1290.23669433594;264.685817265511;496.2449;22.8196;13;327.3658;False
7;1210.03796386719;375.147210671753;465.3992;22.87546;12;293.4564;False
8;1922.19995117188;321.245940795541;547;24.93068;10;345.4036;True
9;750.696533203125;305.505165890604;288.7294;21.12228;12;361.6055;False
10;1922.19995117188;388.829725587368;547;20.78595;12;406.4467;True
11;1922.19995117188;300.427880611271;547;20.42526;13;327.3658;True
12;974.436401367188;315.844587007165;374.7832;27.30685;12;406.4467;False
13;988.538696289063;265.608367499709;380.2072;18.79831;12;406.4467;False
14;1057.20532226563;288.752955335379;406.6174;19.73834;13;327.7331;False
15;1284.89978027344;335.284697660804;494.1922;23.32086;13;327.7331;False
16;827.398986816406;214.141912598535;318.2304;16.26874;12;209.6369;False
17;1130.47583007813;355.387923027854;434.7984;21.62628;14;312.0212;False
18;1207.19873046875;319.850996446609;464.3072;22.99329;14;312.0212;False
19;1287.28393554688;328.135425716487;495.1092;21.42346;13;327.0682;False
20;1204.28967285156;449.122973462939;463.1883;21.14813;13;327.0682;False
21;1212.56567382813;340.860703462362;466.3714;20.35498;12;333.8244;False
22;1135.0576171875;350.415821474791;436.5606;21.98828;12;333.8244;False
23;1055.853515625;315.694814288616;406.0975;26.18982;14;337.976;False
24;1126.19421386719;264.15263158828;433.1516;23.60431;14;337.976;False
25;1202.95825195313;279.565131842159;462.6762;24.37671;14;337.976;False
26;1282.13024902344;353.501011776924;493.127;23.7348;14;299.1535;False
27;1049.78588867188;351.782387448102;403.7638;22.65063;14;296.4842;False
28;1292.57678222656;370.352171596885;497.1449;23.08008;14;296.4842;False
29;1221.24182128906;297.005230404437;469.7084;22.00958;13;303.842;False
30;1199.13586425781;315.793220663816;461.2061;21.98962;14;349.7134;False
