Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-383315731283968;-812022790881280;268.8152;18.29254;10;329.7392;False
2;-208669778116608;-728489728671744;401.0804;23.05848;12;238.9789;False
3;-314775904976896;-705744793187123;314.7224;26.86587;12;393.3231;False
4;-148929383497728;-810198156233933;463.8058;27.14327;12;362.5193;False
5;-239267611672576;-777846449294541;373.566;21.58345;11;308.0051;False
6;-175080734720000;-815797098250240;434.5061;23.24501;13;253.6992;False
7;-147229029433344;-688210624433357;465.7505;25.29337;12;380.2651;False
8;-307496170291200;-851312094740480;319.8905;21.00819;13;253.6992;False
9;-276519691747328;-802241841725440;343.0669;19.85162;12;380.2651;False
10;3.75203591670989E+15;-483332114612224;547;24.72635;13;405.1139;True
11;-205090241642496;-805413013212365;404.4473;22.77612;13;399.1447;False
12;-234911927631872;-728354024482406;377.2895;21.09097;13;399.1447;False
13;-270867598671872;-842401860445798;347.594;21.49185;13;399.1447;False
14;-149645401522176;-851297143724442;462.9903;28.49365;13;399.1447;False
15;-149834916954112;-693573895218790;462.7526;27.62097;14;336.7133;False
16;-275494503186432;-697507447727718;343.6064;17.25623;12;395.6339;False
17;-222443167809536;-700235048078541;388.3064;21.16455;12;395.6339;False
18;-177624311660544;-703749304405197;431.5455;19.89594;12;395.6339;False
19;-237918220189696;-793775579542323;374.304;17.34045;12;284.3604;False
20;-148755504431104;-749519368303411;463.9671;25.79547;12;395.6339;False
21;-384287534743552;-777278424770150;268.2863;19.97504;10;327.4557;False
22;-305974342582272;-762550012189082;320.9426;19.99799;10;327.4557;False
23;-202302304550912;-811472609764966;407.2502;27.69873;13;305.7555;False
24;-270936435589120;-818860617052979;347.3416;18.73584;10;327.4557;False
25;-339663193636864;-864665726877696;297.1178;17.35797;10;327.4557;False
26;-235415009230848;-807567606205645;376.8571;21.146;11;315.2493;False
27;-123429424463872;-652124730320486;495.5168;23.27075;11;315.2493;False
28;-233992972402688;-798727983018803;377.9123;19.07837;11;315.2493;False
29;-229552378871808;-750328067024486;382.1309;24.33643;13;369.5837;False
30;-307953919852544;-739282813714432;319.4477;19.10779;13;369.5837;False
