Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1312455168;222949345.2;323.2411;20.08237;12;304.2415;False
2;1719150976;422764365.2;373.7612;21.44621;12;304.2839;False
3;1333548160;412384370.6;328.2406;20.53094;13;290.239;False
4;1350869888;444009596;320.6828;19.74146;13;309.715;False
5;1531984000;573771442;359.711;24.6601;13;281.491;False
6;1788569856;824187590;349.8632;18.80934;13;356.2329;False
7;2390775296;926967600.4;463.6412;25.94086;12;263.0564;False
8;2676826624;875315532.4;465.4673;26.37411;13;301.074;False
9;3348008704;1368787838.8;524.0276;24.7908;13;286.2284;False
10;3420934144;1334177273.6;530.433;26.65637;13;286.0601;False
11;3693309440;1160856722.6;547;24.02698;12;297.5984;True
12;3665305344;1101867704.8;547;27.13983;12;297.5984;True
13;2286418688;1050901350.8;430.3451;24.46008;13;300.3219;False
14;2774837760;1265774908.8;467.0345;23.01407;13;310.7158;False
15;4075478784;1481120166.2;572.5634;27.38306;12;300.8325;False
16;3033146624;1431425002.4;495.0065;29.22876;13;302.1254;False
17;3680917760;1121932592;547;24.63751;12;296.714;True
18;3428331008;1387000198.8;529.64;23.41956;12;294.6566;False
19;3660680960;1418562801.4;527.2957;23.43597;13;322.8417;False
20;3463314944;1076152447.6;530.324;25.42114;12;301.0308;False
21;3850955264;1336820016;547;22.7124;13;307.3091;True
22;3479321344;1451175892;528.0164;21.17896;12;301.8689;False
23;2796463360;1402306560.8;465.7677;26.26782;13;320.7333;False
24;3089100800;1345798470.4;496.5541;23.98712;13;302.2295;False
25;3249052928;1343272631.6;500.4643;22.41888;13;316.6906;False
26;3427353600;1382852938.4;530.4656;26.89093;12;297.1952;False
27;2637755648;1475529445.6;467.8653;24.39581;12;297.1952;False
28;3829992960;1967312576.8;547;22.2124;12;313.6468;True
29;2605428224;1627539956.6;465.5829;25.24475;12;297.1952;False
30;3850360576;1644698730;547;22.9248;12;317.5632;True
