Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;-46413.08984375;-90424.1478515625;528.948;22.79128;12;343.2361;False
2;-59294.94921875;-84757.0998046875;401.2352;22.52695;13;305.5629;False
3;-64836.5625;-85425.88671875;345.9854;17.96137;14;303.8627;False
4;-55453.43359375;-84083.0021484375;438.9836;19.27985;13;383.7834;False
5;-50069.09375;-86098.85859375;492.9873;27.99567;12;369.3305;False
6;-53251.7734375;-88166.7712890625;461.2046;23.46696;11;323.0007;False
7;-52204.73046875;-83022.08359375;471.367;21.03307;13;365.6408;False
8;-56280.51171875;-85796.518359375;431.1896;23.77069;13;365.6408;False
9;-49296.15234375;-82970.45703125;500.5175;24.73343;13;365.6408;False
10;155390.625;-73188.669921875;547;24.61478;14;351.0403;True
11;155386.640625;-67503.9853515625;547;25.13275;14;351.0403;True
12;155418.59375;-73842.883984375;547;21.89777;11;367.6886;True
13;-49471.54296875;-82991.2630859375;498.6404;22.91168;11;367.6886;False
14;155428.640625;-68486.2546875;547;21.16019;14;420.6767;True
15;-61646.8671875;-86363.3685546875;377.3775;16.91483;14;420.6767;False
16;-48705.74609375;-83681.3966796875;506.3096;23.82547;14;420.6767;False
17;-49680.15625;-84301.93125;496.2243;19.92242;14;351.0403;False
18;-52905.390625;-85112.8224609375;464.4127;20.90942;14;351.0403;False
19;-52921.609375;-85502.2263671875;464.4952;23.72107;12;369.3305;False
20;-56096.85546875;-87194.001171875;432.7146;20.09149;14;420.6767;False
21;-53001.2734375;-83768.18203125;463.8933;29.73792;14;407.2744;False
22;-49934.37890625;-82728.045703125;494.1592;24.30591;13;448.4584;False
23;-49305.82421875;-81763.2853515625;500.4512;25.22662;13;448.4584;False
24;-59046.0625;-86844.179296875;403.8517;27.45178;14;407.2744;False
25;-58816.51953125;-87515.191796875;405.6216;18.66406;14;420.6767;False
26;-46279.94140625;-83514.9333984375;530.2646;22.75934;14;306.8369;False
27;155418.046875;-76078.426953125;547;21.94159;14;351.0403;True
28;-56224.94140625;-81705.5275390625;431.8592;27.47589;14;420.6767;False
29;-49486.7421875;-80083.6384765625;498.7552;27.5036;14;420.6767;False
30;-61866.8046875;-83022.2484375;375.6337;20.71777;12;429.1983;False
