Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;378.44384765625;125.136767452955;378.4438;21.34011;11;418.1835;False
2;320.970153808594;93.9344921827316;320.9702;20.99146;12;259.9098;False
3;461.499755859375;99.8625177294016;461.4998;28.79828;14;329.9517;False
4;498.926361083984;90.0350746810436;498.9264;23.56539;14;329.9517;False
5;291.642028808594;73.7971475988627;291.642;23.15083;12;259.9098;False
6;405.029754638672;90.5417988374829;405.0298;19.67781;10;290.0083;False
7;293.096832275391;109.251652286947;293.0968;20.84784;12;259.9098;False
8;496.4521484375;117.237421311438;496.4521;22.183;11;356.9221;False
9;465.713226318359;90.9205728769302;465.7132;24.71176;12;333.1953;False
10;402.845367431641;109.923639893532;402.8454;25.35022;13;319.6256;False
11;348.347015380859;73.2771741688252;348.347;24.62271;13;319.6256;False
12;271.014282226563;83.5596023023129;271.0143;16.19321;13;319.6256;False
13;375.175659179688;120.630555279553;375.1757;22.92892;13;319.6256;False
14;297.671112060547;106.975035953522;297.6711;17.10416;13;319.6256;False
15;376.079498291016;104.734323698282;376.0795;21.70657;10;299.9864;False
16;347.894348144531;82.8140783231705;347.8943;27.56027;13;319.6256;False
17;494.666259765625;136.464540483058;494.6663;25.11557;13;364.0802;False
18;433.159637451172;114.048565363884;433.1596;23.2674;12;298.5462;False
19;349.098571777344;111.962931373715;349.0986;21.12982;12;298.5462;False
20;435.331237792969;116.645811909437;435.3312;20.039;14;369.662;False
21;403.026184082031;92.7723849438131;403.0262;23.76495;12;298.5462;False
22;406.196014404297;115.241395679116;406.196;20.09381;12;298.5462;False
23;377.224792480469;139.690939107537;377.2248;20.14703;12;298.5462;False
24;433.261840820313;139.03608340919;433.2618;26.20026;12;298.5462;False
25;374.663787841797;101.446062916517;374.6638;21.48181;12;298.5462;False
26;547;202.141745263338;547;24.40826;12;298.5462;True
27;404.5615234375;116.016198521852;404.5615;22.26367;12;298.5462;False
28;402.170867919922;118.407857644558;402.1709;25.31976;12;330.3095;False
29;376.196716308594;109.732215732336;376.1967;22.21814;12;298.5462;False
30;374.692962646484;107.708904796839;374.693;22.72034;14;359.3443;False
