Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1698554752;388089482.4;320.0733;19.22916;12;408.0304;False
2;4301788672;809390508.8;547;22.09922;13;365.2308;True
3;3784574464;1152093374;496.1964;26.41611;14;397.8079;False
4;4607674368;964137542.8;547;25.46555;14;397.8079;True
5;1970045696;742308135.8;346.2258;22.12357;14;397.6732;False
6;4258937344;1181816019.2;525.0009;23.13626;14;396.9011;False
7;2981694720;1276878351.2;470.1525;23.69119;13;339.2377;False
8;4450780672;1844159785.6;547;21.08948;12;392.0168;True
9;4508323840;1695823013.6;547;25.65274;13;395.996;True
10;3143781120;1530084248;463.701;21.48108;13;375.1502;False
11;2294236928;1450980028.8;375.875;20.97897;14;400.2776;False
12;3855611392;1432078176.8;498.5651;24.87964;14;400.8774;False
13;3438083584;1226431771.2;467.7543;21.32486;14;400.8774;False
14;3664587264;1433345244.8;495.3893;28.68951;13;395.0505;False
15;3702092800;1794795278.4;494.1802;23.06113;13;396.4679;False
16;4311948800;1641485308.8;525.7457;22.6969;14;401.4011;False
17;4726848512;2191091222.4;547;20.91785;14;405.0273;True
18;4686121984;2279199241.6;547;20.59723;14;399.5829;True
19;4722676224;2142248436;547;22.54016;14;407.3566;True
20;4684209664;1946056827.2;547;25.77429;14;407.3566;True
21;4720676864;2049004576;547;22.32281;14;406.7654;True
22;3848926720;2094703098.4;494.2723;25.74445;14;409.8161;False
23;4307572224;1946163334.4;529.1282;23.17432;13;404.5821;False
24;4733965824;2285426384;547;23.18042;14;409.6978;True
25;4661653504;1820188538.4;547;21.04938;13;407.521;True
26;3745976576;1753569308;495.5007;30.28992;13;407.521;False
27;4651277312;2009139279.2;547;20.27838;13;404.7986;True
28;4641497600;2146744692.8;547;22.19171;13;407.1163;True
29;4772375040;2462430099.2;547;21.15564;14;410.8391;True
30;5055123968;2711500453.6;566.163;25.67871;14;410.8391;False
