Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1.42882908220003E+20;7.14414541101332E+18;464.0856;28.55786;14;318.361;False
2;1.62332083641825E+19;8.51732491896789E+17;442.3359;24.29125;14;318.3404;False
3;7.01643944440837E+18;1.00753640638117E+18;433.9479;22.93194;14;318.2803;False
4;1.97975319316324E+20;9.90361554908226E+18;467.3467;28.73154;14;318.3404;False
5;3.8630282761968E+17;3.77081636173887E+16;404.954;22.52264;14;318.3404;False
6;3.34206042550305E+17;2.11724477568878E+16;403.5053;21.28592;14;318.3404;False
7;2.22716869163876E+17;1.48331374636542E+16;399.4468;24.50327;14;318.3404;False
8;1.54363181804496E+20;8.36241201851547E+18;464.8584;22.93851;14;318.3404;False
9;1.91184799824609E+16;2.80013587419177E+15;374.8943;21.86624;14;318.3404;False
10;6.31124182341098E+18;5.57609022772829E+17;432.8886;23.84299;14;318.3404;False
11;3.53358366875058E+17;2.06131803302822E+16;404.0626;22.64868;14;318.3404;False
12;7.55087081498424E+18;7.15620054685552E+17;434.6819;27.59845;14;318.3404;False
13;5.74186974923557E+22;2.87140703115605E+21;524.0466;32.54163;14;318.1797;False
14;9.30952317093754E+18;5.03073813912298E+17;436.7757;22.43726;14;317.7573;False
15;5.70043699295173E+23;2.85025318670521E+22;547;29.03607;14;318.3174;True
16;1.63732093996496E+20;8.22314539868052E+18;465.4476;23.77539;14;318.3174;False
17;7.54842879965895E+18;3.98652696162472E+17;434.6787;23.25104;14;319.0277;False
18;1.63604273570744E+19;8.47590239075239E+17;442.414;20.87622;14;319.6903;False
19;3.37401063911436E+20;1.72603710687815E+19;472.678;24.35388;14;319.6903;False
20;1.95120248258803E+20;1.7356906417758E+19;467.2015;21.46631;14;319.6903;False
21;5.70043699295173E+23;2.86727581314535E+22;547;21.66541;14;320.093;True
22;5.70043699295173E+23;9.06142486760284E+22;547;22.16174;14;320.093;True
23;5.70043699295173E+23;7.02405615709904E+22;547;20.66821;14;320.093;True
24;8.39388104308717E+22;4.66835101099854E+21;527.8438;20.59131;14;320.093;False
25;5.70043699295173E+23;3.3041758975198E+22;547;20.42224;14;320.093;True
26;5.70043699295173E+23;2.90584340668506E+22;547;23.51501;14;319.5135;True
27;5.70043699295173E+23;7.13071087388903E+22;547;19.92688;14;319.5135;True
28;5.70043699295173E+23;5.70130035498718E+22;547;21.67944;14;319.8536;True
29;1.90551875891267E+23;9.52835866888249E+21;536.0421;22.40723;14;319.8536;False
30;5.70043699295173E+23;3.28050318476832E+22;547;23.23547;14;319.8536;True
31;3.71741581056964E+21;1.95491954040608E+20;496.6732;20.65759;14;319.8536;False
32;5.70043699295173E+23;3.6448330766348E+22;547;21.61682;14;319.9324;True
33;5.48076995795906E+22;3.06477252868268E+21;523.5812;23.56873;14;319.9324;False
34;7.29900868587731E+22;3.94704523244833E+21;526.4461;28.33374;14;320.0533;False
35;3.39264632326618E+21;1.98195775952632E+20;495.759;23.46143;14;320.0533;False
36;5.70043699295173E+23;3.17789144935643E+22;547;22.15979;14;321.0386;True
37;6.73952544131956E+24;4.50993262584498E+23;571.7003;23.6217;14;320.6627;False
38;5.70043699295173E+23;6.05503203918505E+22;547;22.0321;14;320.3918;True
39;5.70043699295173E+23;2.93270399737954E+22;547;22.1377;14;321.4304;True
40;5.70043699295173E+23;5.70161481371373E+22;547;22.76379;14;321.4304;True
41;5.70043699295173E+23;5.71806658938223E+22;547;23.61987;13;318.715;True
42;5.70043699295173E+23;3.32026828893501E+22;547;19.45459;12;317.2446;True
43;5.70043699295173E+23;3.719132200744E+22;547;20.75708;12;317.2446;True
44;5.70043699295173E+23;2.85116138903179E+22;547;21.7522;12;317.2446;True
45;9.27288010755846E+22;5.00671703926963E+21;528.8397;24.09326;12;317.2446;False
46;3.8925025347579E+21;2.07299643842431E+20;497.1334;23.41724;12;317.2446;False
47;8.86516382897306E+22;8.58456353971726E+21;528.39;25.55664;12;316.5948;False
48;5.70043699295173E+23;3.28329174619431E+22;547;19.34473;12;316.8792;True
49;5.70043699295173E+23;3.65392710057926E+22;547;21.30933;12;316.8792;True
50;5.70043699295173E+23;5.70339819406653E+22;547;19.84985;12;317.4193;True
51;3.24040917473734E+21;1.68529954433217E+20;495.2999;23.56958;12;317.4193;False
52;5.70043699295173E+23;2.87126011407865E+22;547;20.66235;12;317.4193;True
53;5.70043699295173E+23;3.28339137788108E+22;547;22.11621;12;317.4193;True
54;2.73982929108051E+21;1.52329499040486E+20;493.6218;22.68164;12;318.4031;False
55;5.70043699295173E+23;2.85105275987804E+22;547;23.30396;12;318.4031;True
56;5.70043699295173E+23;2.85022152923801E+22;547;19.40796;12;319.2565;True
57;8.94036763771066E+22;7.86528841101295E+21;528.4745;22.66309;12;319.2565;False
58;5.70043699295173E+23;1.14164337900036E+23;547;20.36816;12;319.2565;True
59;2.15077267430677E+21;1.24835952795361E+20;491.2011;24.92041;12;319.2565;False
60;5.70043699295173E+23;6.55369864711891E+22;547;27.70605;12;319.2565;True
61;5.70043699295173E+23;3.99265742366881E+22;547;19.94702;12;318.9471;True
62;5.70043699295173E+23;1.14185135990924E+23;547;20.83667;12;318.9471;True
63;5.70043699295173E+23;5.71278383633664E+22;547;21.81177;12;318.7596;True
64;5.70043699295173E+23;3.29286092365946E+22;547;19.90503;12;318.978;True
65;5.70043699295173E+23;3.46793324339222E+22;547;27.54834;12;318.978;True
66;5.70043699295173E+23;6.1869278397814E+22;547;20.58813;12;318.978;True
67;5.70043699295173E+23;3.8507555522844E+22;547;25.54663;12;318.978;True
68;5.70043699295173E+23;3.77848155014412E+22;547;26.64136;12;318.9088;True
69;5.34230329712584E+21;4.43201921898674E+20;500.2994;22.59839;12;320.6965;False
70;5.70043699295173E+23;5.71830000129129E+22;547;27.02515;12;320.2157;True
71;5.70043699295173E+23;2.86625988475787E+22;547;25.69751;12;319.1735;True
72;5.70043699295173E+23;5.71921091605285E+22;547;21.0979;12;320.1263;True
73;5.70043699295173E+23;6.16697818390765E+22;547;21.37427;12;320.1263;True
74;5.70043699295173E+23;6.30899267473077E+22;547;22.79614;12;320.1263;True
75;5.70043699295173E+23;2.87312110368206E+22;547;20.66406;12;319.1735;True
76;5.70043699295173E+23;2.85242883573735E+22;547;23.11597;12;319.1735;True
77;5.70043699295173E+23;7.12600072309692E+22;547;22.64331;12;319.1735;True
78;5.70043699295173E+23;4.01084505946587E+22;547;23.02173;12;319.2175;True
79;9.39880705817922E+22;4.70024308936841E+21;528.9745;23.20386;11;317.9285;False
80;5.70043699295173E+23;3.27858995363637E+22;547;24.06445;11;317.9285;True
81;5.70043699295173E+23;1.18990437650807E+23;547;21.40234;11;317.9285;True
82;5.70043699295173E+23;7.87759493733482E+22;547;22.61816;11;317.9285;True
83;5.70043699295173E+23;6.1735929920804E+22;547;22.03467;11;317.9285;True
84;9.85193192844558E+25;5.0687739231413E+24;598.5229;22.5;11;317.9285;False
